code,name,narrow_foe
010101,Mathematics,0101
010103,Statistics,0101
010199,"Mathematical Sciences, n.e.c.",0101
010301,Physics,0103
010303,Astronomy,0103
010501,Organic Chemistry,0105
010503,Inorganic Chemistry,0105
010599,"Chemical Sciences, n.e.c.",0105
010701,Atmospheric Sciences,0107
010703,Geology,0107
010705,Geophysics,0107
010707,Geochemistry,0107
010709,Soil Science,0107
010711,Hydrology,0107
010713,Oceanography,0107
010799,"Earth Sciences, n.e.c.",0107
010901,Biochemistry and Cell Biology,0109
010903,Botany,0109
010905,Ecology and Evolution,0109
010907,Marine Science,0109
010909,Genetics,0109
010911,Microbiology,0109
010913,Human Biology,0109
010915,Zoology,0109
010999,"Biological Sciences, n.e.c.",0109
019901,Medical Science,0199
019903,Forensic Science,0199
019905,Food Science and Biotechnology,0199
019907,Pharmacology,0199
019909,Laboratory Technology,0199
019999,"Natural and Physical Sciences, n.e.c.",0199
020101,Formal Language Theory,0201
020103,Programming,0201
020105,Computational Theory,0201
020107,Compiler Construction,0201
020109,Algorithms,0201
020111,Data Structures,0201
020113,Networks and Communications,0201
020115,Computer Graphics,0201
020117,Operating Systems,0201
020119,Artificial Intelligence,0201
020199,"Computer Science, n.e.c.",0201
020301,Conceptual Modelling,0203
020303,Database Management,0203
020305,Systems Analysis and Design,0203
020307,Decision Support Systems,0203
020399,"Information Systems, n.e.c.",0203
029901,Security Science,0299
029999,"Information Technology, n.e.c.",0299
030101,Manufacturing Engineering,0301
030103,Printing,0301
030105,Textile Making,0301
030107,Garment Making,0301
030109,Footwear Making,0301
030111,Wood Machining and Turning,0301
030113,Cabinet Making,0301
030115,Furniture Upholstery and Renovation,0301
030117,Furniture Polishing,0301
030199,"Manufacturing Engineering and Technology, n.e.c.",0301
030301,Chemical Engineering,0303
030303,Mining Engineering,0303
030305,Materials Engineering,0303
030307,Food Processing Technology,0303
030399,"Process and Resources Engineering, n.e.c.",0303
030501,Automotive Engineering,0305
030503,Vehicle Mechanics,0305
030505,Automotive Electrics and Electronics,0305
030507,Automotive Vehicle Refinishing,0305
030509,Automotive Body Construction,0305
030511,Panel Beating,0305
030513,Upholstery and Vehicle Trimming,0305
030515,Automotive Vehicle Operations,0305
030599,"Automotive Engineering and Technology, n.e.c.",0305
030701,Mechanical Engineering,0307
030703,Industrial Engineering,0307
030705,Toolmaking,0307
030707,"Metal Fitting, Turning and Machining",0307
030709,Sheetmetal Working,0307
030711,Boilermaking and Welding,0307
030713,Metal Casting and Patternmaking,0307
030715,Precision Metalworking,0307
030717,Plant and Machine Operations,0307
030799,"Mechanical and Industrial Engineering and Technology, n.e.c.",0307
030901,Construction Engineering,0309
030903,Structural Engineering,0309
030905,Building Services Engineering,0309
030907,Water and Sanitary Engineering,0309
030909,Transport Engineering,0309
030911,Geotechnical Engineering,0309
030913,Ocean Engineering,0309
030999,"Civil Engineering, n.e.c.",0309
031101,Surveying,0311
031103,Mapping Science,0311
031199,"Geomatic Engineering, n.e.c.",0311
031301,Electrical Engineering,0313
031303,Electronic Engineering,0313
031305,Computer Engineering,0313
031307,Communications Technologies,0313
031309,Communications Equipment Installation and Maintenance,0313
031311,Powerline Installation and Maintenance,0313
031313,"Electrical Fitting, Electrical Mechanics",0313
031315,Refrigeration and Air Conditioning Mechanics,0313
031317,Electronic Equipment Servicing,0313
031399,"Electrical and Electronic Engineering and Technology, n.e.c.",0313
031501,Aerospace Engineering,0315
031503,Aircraft Maintenance Engineering,0315
031505,Aircraft Operation,0315
031507,Air Traffic Control,0315
031599,"Aerospace Engineering and Technology, n.e.c.",0315
031701,Maritime Engineering,0317
031703,Marine Construction,0317
031705,Marine Craft Operation,0317
031799,"Maritime Engineering and Technology, n.e.c.",0317
039901,Environmental Engineering,0399
